Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
87,Janio Bikel\7d944245,pt POR,MF,Vancouver,25,1995,25.6,953,901,52,24,0,170,32,8,0,0,0,0,703,114,136,81,805,27,26,5,815,1,13,23,15,Matches
88,Steve Birnbaum\26637ac8,us USA,DF,D.C. United,30,1991,18.0,564,530,34,28,1,74,10,1,0,0,0,0,325,58,181,90,355,70,5,1,447,3,11,8,3,Matches
89,José Bizama\fbcb25ab,cl CHI,DF,Houston Dynamo,26,1994,1.0,42,27,15,0,0,5,0,1,0,0,0,0,20,16,6,3,23,1,15,0,30,1,1,3,0,Matches
90,Tyler Blackett\a68a5466,eng ENG,DF,FC Cincinnati,26,1994,8.6,375,362,13,10,0,32,28,0,0,0,0,0,264,32,79,332,19,12,3,2,326,1,8,9,5,Matches
91,Jamal Blackman\dd26b605,eng ENG,GK,Los Angeles FC,27,1993,8.0,191,117,74,12,0,7,1,0,0,0,0,0,93,7,91,15,136,0,0,26,123,1,1,0,1,Matches
92,Tristan Blackmon\7f35d14e,us USA,DF,Los Angeles FC,24,1996,14.4,808,717,91,27,0,76,18,10,0,0,0,0,542,129,137,153,525,44,64,4,660,4,8,31,17,Matches
93,Andre Blake\b3b21a11,jm JAM,GK,Philadelphia,30,1990,26.0,747,478,269,54,0,36,6,0,0,0,0,0,258,34,455,35,551,0,0,112,457,1,12,4,2,Matches
94,Sebastián Blanco\4ddd0834,ar ARG,MFFW,Portland Timbers,32,1988,13.1,726,696,30,10,7,128,27,54,4,2,2,0,390,158,178,238,432,30,13,8,486,7,26,35,38,Matches
95,Latif Blessing\5153d32e,gh GHA,MFDF,Los Angeles FC,24,1996,24.5,1065,1002,63,11,1,197,8,12,0,0,0,0,838,159,68,72,882,44,52,2,899,4,16,41,28,Matches
96,Emmanuel Boateng\25f77a5f,gh GHA,MFFW,New England,27,1994,4.2,197,179,18,4,0,30,11,16,11,2,4,2,139,28,30,176,10,3,3,2,158,1,1,5,6,Matches
97,Blake Bodily\612a0951,us USA,FWDF,Portland Timbers,23,1998,2.3,82,72,10,0,0,21,2,4,1,0,1,0,48,21,13,55,12,1,8,0,60,0,1,2,7,Matches
