Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
656,Quinn Sullivan\92f62cfe,us USA,FWMF,Philadelphia,16,2004,6.0,156,194,80.4,2317,414,91,102,89.2,46,63,73.0,12,16,75.0,2,0.8,+1.2,9,3,8,1,14,Matches
657,Hunter Sulte\92823044,us USA,GK,Portland Timbers,18,2002,1.3,31,43,72.1,780,432,9,9,100.0,14,14,100.0,8,20,40.0,0,0.0,0.0,0,0,0,0,0,Matches
658,Ben Sweat\6937b1ac,us USA,DF,Austin FC,29,1991,1.0,40,52,76.9,748,309,14,16,87.5,24,26,92.3,2,6,33.3,0,0.0,0.0,1,2,1,1,8,Matches
659,Ballou Tabla\018bd079,ca CAN,DFMF,CF Montréal,21,1999,0.2,8,8,100.0,142,54,5,5,100.0,2,2,100.0,1,1,100.0,0,0.1,-0.1,1,0,1,0,2,Matches
660,Ismael Tajouri-Shradi\ef4249ff,ly LBY,FWMF,NYCFC,26,1994,13.7,386,471,82.0,6380,1770,197,228,86.4,140,165,84.8,38,50,76.0,0,2.3,-2.3,15,29,26,5,54,Matches
661,Andrew Tarbell\c5487a34,us USA,GK,Austin FC,27,1993,1.0,22,42,52.4,666,349,3,3,100.0,8,8,100.0,11,30,36.7,0,0.0,0.0,0,0,0,0,0,Matches
662,Amro Tarek\52c930c0,eg EGY,DF,NY Red Bulls,28,1992,9.6,295,393,75.1,7107,2918,68,75,90.7,144,169,85.2,79,140,56.4,0,0.1,-0.1,3,31,4,2,37,Matches
663,D.J. Taylor\ed4dc7f4,us USA,DF,Minnesota Utd,23,1997,6.9,329,405,81.2,5426,2389,169,181,93.4,134,162,82.7,24,48,50.0,0,0.4,-0.4,8,22,5,1,32,Matches
664,Russell Teibert\674befe9,ca CAN,MF,Vancouver,28,1992,26.8,975,1158,84.2,17429,4968,441,485,90.9,410,466,88.0,103,165,62.4,2,2.3,-0.3,28,97,20,9,98,Matches
665,Carlos Terán\324509e2,co COL,DF,Chicago Fire,20,2000,10.8,391,552,70.8,9283,4952,122,138,88.4,149,182,81.9,113,205,55.1,0,1.1,-1.1,11,25,4,1,26,Matches
