Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_p_90,Ast_p_90,G+A_p_90,G-PK_p_90,G+A-PK_p_90,xG,npxG,xA,npxG+xA,xG_p_90,xA_p_90,xG+xA_p_90,npxG_p_90,npxG+xA_p_90,Matches
41,Julian Araujo\8f4541c2,mx MEX,DF,LA Galaxy,19,2001,32,32,2793,31.0,0,6,0,0,0,8,0,0.00,0.19,0.19,0.00,0.19,0.5,0.5,3.7,4.2,0.02,0.12,0.13,0.02,0.13,Matches
42,Luiz Araújo\fa18c72e,br BRA,FWMF,Atlanta Utd,24,1996,15,13,1148,12.8,4,3,4,0,0,3,0,0.31,0.24,0.55,0.31,0.55,3.7,3.7,3.0,6.7,0.29,0.23,0.52,0.29,0.52,Matches
43,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,25,1995,12,5,373,4.1,1,1,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,1.5,1.5,0.5,1.9,0.35,0.11,0.47,0.35,0.47,Matches
44,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,26,1994,26,25,2162,24.0,2,0,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,1.7,1.7,0.4,2.0,0.07,0.02,0.09,0.07,0.09,Matches
45,Paul Arriola\1bb2acce,us USA,FWMF,D.C. United,25,1995,20,19,1355,15.1,6,2,6,0,0,3,0,0.40,0.13,0.53,0.40,0.53,5.3,5.3,3.9,9.2,0.35,0.26,0.61,0.35,0.61,Matches
46,Artur\ea6803c7,br BRA,MF,Columbus Crew,24,1996,6,5,431,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches
47,Yamil Asad\a444689a,ar ARG,MFFW,D.C. United,26,1994,16,8,650,7.2,2,1,1,1,1,3,0,0.28,0.14,0.42,0.14,0.28,1.8,1.0,1.3,2.3,0.25,0.18,0.43,0.14,0.32,Matches
48,Dairon Asprilla\218d336c,co COL,FWMF,Portland Timbers,28,1992,34,25,2088,23.2,10,3,9,1,1,5,0,0.43,0.13,0.56,0.39,0.52,6.8,6.0,2.7,8.7,0.29,0.11,0.41,0.26,0.37,Matches
49,Isaac Atanga\ff0f2a53,gh GHA,FWMF,FC Cincinnati,20,2000,22,12,1024,11.4,1,2,1,0,0,0,1,0.09,0.18,0.26,0.09,0.26,2.5,2.5,1.4,3.9,0.22,0.12,0.34,0.22,0.34,Matches
50,Joshua Atencio\1f084637,us USA,MF,Seattle,19,2002,24,18,1514,16.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02,Matches
