Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
137,Julián Carranza\3e9ae1db,ar ARG,FWMF,Inter Miami,20,2000,8.2,12,1.46,7,0,0,0,3,2,0,0.00,0,0,0,0,0,0,Matches
138,Adalberto Carrasquilla\f087912d,pa PAN,MF,Houston Dynamo,22,1998,6.2,21,3.39,15,0,0,0,3,3,1,0.16,1,0,0,0,0,0,Matches
139,Javier Casas\2ed8d81b,us USA,MF,Chicago Fire,17,2003,0.6,1,1.61,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Julio Cascante\cc120b4f,cr CRC,DF,Austin FC,27,1993,26.8,12,0.45,11,0,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches
141,Cristian Cásseres Jr.\f86fe8c1,ve VEN,MFFW,NY Red Bulls,21,2000,22.9,53,2.32,35,2,7,3,5,1,5,0.22,5,0,0,0,0,0,Matches
142,Robert Castellanos\e620dcbb,us USA,DF,Nashville,22,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Valentín Castellanos\da76bab4,ar ARG,FW,NYCFC,22,1998,30.5,102,3.34,66,1,7,10,10,8,16,0.52,8,0,1,3,2,2,Matches
144,Edgar Castillo\3cdde01b,us USA,DF,FC Cincinnati,34,1986,10.8,13,1.20,11,0,0,0,2,0,1,0.09,1,0,0,0,0,0,Matches
145,Juan Castillo\bd538c54,us USA,MF,Houston Dynamo,16,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Lucas Cavallini\dd8de641,ca CAN,FW,Vancouver,28,1992,13.7,24,1.75,15,0,4,1,3,1,5,0.37,2,0,2,0,1,0,Matches
147,Darwin Cerén\a58de3f0,sv SLV,MF,Houston Dynamo,31,1989,13.4,31,2.31,25,2,0,0,2,2,3,0.22,2,1,0,0,0,0,Matches
148,Edwin Cerrillo\bd060315,us USA,MF,FC Dallas,20,2000,15.4,17,1.10,15,0,0,1,1,0,2,0.13,2,0,0,0,0,0,Matches
149,Maikel Chang\04cc9edd,cu CUB,DFMF,Real Salt Lake,29,1991,12.1,39,3.22,32,2,0,2,1,2,2,0.17,2,0,0,0,0,0,Matches
150,Maxime Chanot\ca366055,lu LUX,DF,NYCFC,31,1989,28.9,8,0.28,5,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Jay Chapman\3bb4d381,ca CAN,MFFW,Inter Miami,27,1994,13.2,22,1.67,19,1,0,0,1,1,2,0.15,1,1,0,0,0,0,Matches
152,Diego Chará\6260cc9d,co COL,MF,Portland Timbers,34,1986,27.2,50,1.84,45,0,1,0,4,0,2,0.07,2,0,0,0,0,0,Matches
153,Yimmi Chará\9df9baab,co COL,FWMF,Portland Timbers,29,1991,25.7,104,4.05,68,28,5,1,1,1,8,0.31,7,0,0,0,0,1,Matches
154,Justin Che\3c569f37,us USA,DF,FC Dallas,17,2003,11.3,19,1.68,18,1,0,0,0,0,3,0.27,3,0,0,0,0,0,Matches
155,Mathieu Choiniere\017459bb,ca CAN,DF,CF Montréal,21,1999,22.0,30,1.36,24,2,2,0,1,1,0,0.00,0,0,0,0,0,0,Matches
156,Léo Chú\d88ebbe9,br BRA,FWMF,Seattle,20,2000,1.7,6,3.53,5,0,0,0,1,0,2,1.18,2,0,0,0,0,0,Matches
157,José Cifuentes\8c8c07a7,ec ECU,MF,Los Angeles FC,21,1999,25.7,97,3.77,78,2,4,3,5,5,13,0.50,9,0,0,2,0,2,Matches
158,Abdoulaye Cissoko\52a6ef30,fr FRA,DF,Seattle,21,1999,10.7,2,0.19,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
159,Caden Clark\6e327d0d,us USA,MFFW,NY Red Bulls,17,2003,16.7,42,2.52,31,3,3,1,1,3,7,0.42,6,0,0,0,1,0,Matches
160,Steve Clark\ed6320b7,us USA,GK,Portland Timbers,34,1986,23.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
161,Stefan Cleveland\873fdbdf,us USA,GK,Seattle,26,1994,15.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,Elliot Collier\5804f03b,nz NZL,FWMF,Chicago Fire,25,1995,3.7,8,2.15,8,0,0,0,0,0,2,0.54,2,0,0,0,0,0,Matches
163,Jackson Conway\1cfa6e1a,us USA,FWMF,Atlanta Utd,19,2001,2.7,4,1.51,2,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
164,Derek Cornelius\577744b8,ca CAN,DFFW,Vancouver,23,1997,1.6,1,0.62,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
165,Joe Corona\470cd24b,us USA,MF,Houston Dynamo,30,1990,19.2,48,2.49,37,3,1,4,1,2,3,0.16,2,0,0,1,0,0,Matches
