Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
80,Nicolas Benezet\30395d3b,fr FRA,FWMF,Colorado Rapids,29,1991,3.2,0,0,0,1,5,0,3,1,4,0,0,0,30,0,6,0.0,Matches
81,Nicolas Benezet\30395d3b,fr FRA,FWMF,Seattle,29,1991,7.4,1,0,0,9,23,2,12,6,4,0,0,0,55,8,7,53.3,Matches
82,Sebastian Berhalter\f33ee427,us USA,MF,Austin FC,19,2001,7.3,3,0,0,20,8,0,5,10,19,0,0,0,60,6,10,37.5,Matches
83,Robert Berić\9001138b,si SVN,FW,Chicago Fire,29,1991,24.4,1,0,0,32,49,28,18,10,8,0,0,0,70,38,61,38.4,Matches
84,Miguel Berry\a5532e80,es ESP,FW,Columbus Crew,23,1997,9.4,0,0,0,13,8,1,3,4,5,0,0,0,38,28,46,37.8,Matches
85,Matt Besler\8393a973,us USA,DF,Austin FC,33,1987,19.4,2,0,0,12,7,0,0,36,6,0,0,0,145,45,24,65.2,Matches
86,Nick Besler\cc9fa1a8,us USA,MF,Real Salt Lake,27,1993,18.3,4,0,0,21,39,0,3,52,28,0,0,0,173,32,14,69.6,Matches
87,Janio Bikel\7d944245,pt POR,MF,Vancouver,25,1995,25.6,4,0,0,74,51,1,8,29,45,0,0,0,174,18,17,51.4,Matches
88,Steve Birnbaum\26637ac8,us USA,DF,D.C. United,30,1991,18.0,4,0,0,33,15,2,1,33,5,0,0,1,158,91,18,83.5,Matches
89,José Bizama\fbcb25ab,cl CHI,DF,Houston Dynamo,26,1994,1.0,0,0,0,0,1,0,1,1,0,0,0,0,6,0,3,0.0,Matches
90,Tyler Blackett\a68a5466,eng ENG,DF,FC Cincinnati,26,1994,8.6,1,0,0,10,6,0,0,16,4,0,0,0,51,20,10,66.7,Matches
91,Jamal Blackman\dd26b605,eng ENG,GK,Los Angeles FC,27,1993,8.0,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,,Matches
92,Tristan Blackmon\7f35d14e,us USA,DF,Los Angeles FC,24,1996,14.4,2,1,0,22,8,0,10,41,8,0,0,0,139,30,15,66.7,Matches
93,Andre Blake\b3b21a11,jm JAM,GK,Philadelphia,30,1990,26.0,2,0,0,0,2,0,0,0,0,0,0,0,125,0,0,,Matches
94,Sebastián Blanco\4ddd0834,ar ARG,MFFW,Portland Timbers,32,1988,13.1,4,0,0,14,21,1,54,14,9,0,1,0,86,8,10,44.4,Matches
95,Latif Blessing\5153d32e,gh GHA,MFDF,Los Angeles FC,24,1996,24.5,1,0,0,41,52,5,12,77,43,0,0,0,279,25,31,44.6,Matches
96,Emmanuel Boateng\25f77a5f,gh GHA,MFFW,New England,27,1994,4.2,0,0,0,6,3,0,16,4,3,0,0,0,23,3,2,60.0,Matches
97,Blake Bodily\612a0951,us USA,FWDF,Portland Timbers,23,1998,2.3,1,0,0,5,1,0,4,3,2,0,0,0,12,7,4,63.6,Matches
98,Jonathan Bond\c3a86eea,eng ENG,GK,LA Galaxy,27,1993,31.0,2,0,0,0,4,0,0,0,0,0,0,0,164,0,0,,Matches
99,Pablo Bonilla\da23cdc3,ve VEN,DF,Portland Timbers,21,1999,15.1,4,0,0,21,25,0,17,45,21,0,0,0,94,12,21,36.4,Matches
100,Alex Bono\aa28a396,us USA,GK,Toronto FC,26,1994,24.0,2,0,0,3,4,0,1,1,0,0,2,0,140,1,0,100.0,Matches
